Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,Expected goals,Assists,Expected assists,Duels/90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions/90,Defensive duels/90,"Defensive duels won, %",Aerial duels/90,"Aerial duels won, %",Sliding tackles/90,PAdj Sliding tackles,Shots blocked/90,Interceptions/90,PAdj Interceptions,Fouls/90,Yellow cards,Yellow cards/90,Red cards,Red cards/90,Successful attacking actions/90,Goals/90,Non-penalty goals,Non-penalty goals/90,Expected goals/90,Head goals,Head goals/90,Shots,Shots/90,"Shots on target, %","Goal conversion, %",Assists/90,Crosses/90,"Accurate crosses, %",Crosses from left flank/90,"Accurate crosses from left flank, %",Crosses from right flank/90,"Accurate crosses from right flank, %",Crosses to goalie box/90,Dribbles/90,"Successful dribbles, %",Offensive duels/90,"Offensive duels won, %",Touches in box/90,Progressive runs/90,Accelerations/90,Received passes/90,Received long passes/90,Fouls suffered/90,Passes/90,"Accurate passes, %",Forward passes/90,"Accurate forward passes, %",Back passes/90,"Accurate back passes, %",Lateral passes/90,"Accurate lateral passes, %",Short / medium passes/90,"Accurate short / medium passes, %",Long passes/90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",Expected assists/90,Shot assists/90,Second assists/90,Third assists/90,Smart passes/90,"Accurate smart passes, %",Key passes/90,Passes to final third/90,"Accurate passes to final third, %",Passes to penalty area/90,"Accurate passes to penalty area, %",Through passes/90,"Accurate through passes, %",Deep completions/90,Deep completed crosses/90,Progressive passes/90,"Accurate progressive passes, %",Conceded goals,Conceded goals/90,Shots against,Shots against/90,Clean sheets,"Save rate, %",Expected goals conceded,Expected goals conceded/90,Prevented goals,Prevented goals/90,Back passes received by GK/90,Exits/90,Aerial duels/90 (GK),Free kicks/90,Direct free kicks/90,"Direct free kicks on target, %",Corners/90,Penalties taken,"Penalty conversion, %"
Sean Dunmore,Team 22,Team 22,"RCMF, LCMF",29,400000,2026-11-30,10,734,0,0.16,0,0.14,14.1,45.22,Portugal,Portugal,right,178,76,yes,5.89,7.11,41.38,1.23,60.0,0.25,0.41,0.12,2.7,4.52,2.45,3,0.37,0,0.0,0.49,0.0,0,0.0,0.02,0,0.0,2,0.25,50.0,0.0,0.0,0.25,50.0,0.12,0.0,0.12,100.0,0.0,0.86,28.57,4.41,44.44,0.12,0.37,0.12,22.81,0.37,1.1,35.93,88.74,10.79,78.41,6.38,94.23,12.51,91.18,32.98,91.82,2.7,54.55,17.57,30.25,0.02,0.61,0.0,0.0,0.0,0.0,0.0,4.66,81.58,0.61,60.0,0.12,100.0,0.37,0.12,5.15,64.29,0,,0,,0,0.0,0.0,0.0,,,0.74,,,0.0,0.0,0.0,0.0,0,0.0
Ethan Vance,Team 22,Team 22,"LCMF, LWF, AMF",35,350000,2026-12-31,18,1471,3,1.74,0,1.53,14.13,51.08,Paraguay,"Paraguay, France",left,178,75,yes,4.77,3.24,67.92,3.49,36.84,0.18,0.3,0.06,2.39,3.86,0.37,2,0.12,0,0.0,1.22,0.18,3,0.18,0.11,1,0.06,20,1.22,25.0,15.0,0.0,1.22,30.0,0.73,41.67,0.43,14.29,0.24,0.86,64.29,5.63,54.35,1.47,0.37,0.06,19.39,0.73,2.2,27.72,78.81,7.22,66.1,7.34,90.83,8.81,79.86,23.98,84.18,2.63,51.16,17.44,28.32,0.09,0.73,0.0,0.06,0.06,0.0,0.12,3.79,66.13,1.77,51.72,0.12,0.0,0.49,0.31,3.98,60.0,0,,0,,0,0.0,0.0,0.0,,,0.43,,,1.16,0.06,0.0,2.39,0,0.0
Jonas Fletcher,Team 22,Team 22,LCB,36,300000,2026-12-31,15,1443,0,0.32,1,0.36,11.29,61.33,Colombia,Colombia,left,187,80,yes,8.05,4.93,56.96,4.18,70.15,0.31,0.47,0.19,4.93,7.38,1.37,4,0.25,0,0.0,0.87,0.0,0,0.0,0.02,0,0.0,3,0.19,33.33,0.0,0.06,0.62,80.0,0.62,80.0,0.0,0.0,0.0,0.5,62.5,1.43,39.13,0.69,0.87,0.0,27.19,1.37,0.37,42.22,83.75,22.08,78.25,2.56,87.8,13.35,92.06,34.93,89.29,6.8,55.96,21.32,38.93,0.02,0.25,0.0,0.0,0.0,0.0,0.06,5.93,69.47,1.31,52.38,0.06,0.0,0.25,0.37,9.67,75.48,0,,0,,0,0.0,0.0,0.0,,,1.37,,,0.0,0.0,0.0,0.0,0,0.0
Soren Blackwood,Team 22,Team 22,CF,36,250000,2026-12-31,11,537,2,0.94,1,0.42,18.44,28.18,France,"France, Germany",right,180,77,yes,2.01,1.51,33.33,7.54,22.22,0.17,0.28,0.0,1.34,2.26,0.67,1,0.17,0,0.0,1.17,0.34,2,0.34,0.16,1,0.17,9,1.51,44.44,22.222,0.17,0.34,50.0,0.17,0.0,0.17,100.0,0.17,0.5,66.67,6.37,36.84,2.51,0.17,0.0,8.38,1.51,1.68,11.9,76.06,2.18,69.23,3.52,80.95,4.02,75.0,11.56,76.81,0.0,0.0,13.66,0.0,0.07,0.34,0.0,0.0,0.0,0.0,0.34,1.34,62.5,0.67,75.0,0.0,0.0,0.34,0.17,1.51,55.56,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Simon Brecken,Team 22,Team 22,"RWF, RWB, RW",25,250000,2026-12-31,5,131,0,0.58,0,0.01,21.3,48.39,Germany,Germany,right,168,74,yes,4.81,6.87,30.0,3.44,40.0,1.37,2.61,0.0,1.37,2.61,2.75,1,0.69,0,0.0,6.18,0.0,0,0.0,0.4,0,0.0,5,3.44,0.0,0.0,0.0,4.12,33.33,0.69,100.0,3.44,20.0,0.0,6.18,77.78,10.99,62.5,4.12,4.12,0.69,19.24,0.0,0.69,31.6,69.57,14.43,61.9,2.75,100.0,5.5,75.0,24.73,80.56,2.75,25.0,19.94,16.6,0.0,0.69,0.0,0.69,0.0,0.0,0.0,4.12,33.33,4.81,71.43,0.0,0.0,2.06,1.37,4.81,71.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.69,0,0.0
Emil Waverley,Team 22,Team 22,GK,32,250000,2026-11-30,11,1100,0,0.0,0,0.0,0.57,100.0,Portugal,"Portugal, France",right,188,85,yes,1.39,0.0,0.0,0.41,100.0,0.0,0.0,0.0,1.39,1.99,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,9.74,0.25,0.33,16.77,86.34,9.82,77.5,0.0,0.0,6.55,100.0,9.49,97.41,7.28,71.91,37.04,49.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,43.75,0.08,0.0,0.0,0.0,0.0,0.0,5.65,82.61,8,0.65,45,3.68,5,82.22,9.36,0.77,1.36,0.111,0.0,1.47,0.41,,,,0.0,0,0.0
Stefan Pemberton,Team 22,Team 22,CF,36,250000,2026-11-30,18,1292,3,2.87,1,0.6,19.85,38.6,Czech Republic,"Czech Republic, Italy",right,177,75,yes,2.51,2.65,31.58,7.04,34.65,0.14,0.23,0.07,1.53,2.48,2.23,3,0.21,0,0.0,1.53,0.21,3,0.21,0.2,2,0.14,21,1.46,33.33,14.286,0.07,1.67,33.33,0.7,20.0,0.91,46.15,0.21,1.04,46.67,6.83,47.96,2.16,1.25,0.21,11.01,1.46,2.86,15.33,74.09,2.65,57.89,3.41,89.8,4.95,64.79,12.96,80.11,0.77,63.64,16.02,18.11,0.04,0.56,0.07,0.0,0.0,0.0,0.42,1.11,50.0,1.39,40.0,0.0,0.0,0.56,0.49,1.81,69.23,0,,0,,0,0.0,0.0,0.0,,,0.07,,,0.0,0.0,0.0,0.0,0,0.0
Theo Thorne,Team 22,Team 22,CB,39,150000,2027-12-31,11,1119,0,1.46,0,0.43,13.75,66.08,Turkey,Turkey,right,187,80,yes,9.09,4.02,70.0,6.43,66.25,0.0,0.0,0.8,6.27,10.31,0.64,0,0.0,0,0.0,0.32,0.0,0,0.0,0.12,0,0.0,7,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,80.0,1.37,41.18,1.37,0.32,0.0,21.88,0.0,0.56,35.47,89.12,11.5,77.62,2.01,100.0,19.14,95.38,30.08,92.78,5.39,68.66,23.12,39.11,0.03,0.16,0.08,0.0,0.0,0.0,0.16,4.1,64.71,0.4,60.0,0.24,33.33,0.32,0.0,5.39,79.1,0,,0,,0,0.0,0.0,0.0,,,1.45,,,0.0,0.0,0.0,0.0,0,0.0
Oliver Calder,Team 22,Team 22,GK,31,100000,2026-12-31,2,208,0,0.0,0,0.0,0.0,0.0,Senegal,Senegal,right,188,88,yes,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,1.62,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63,0.43,0.0,10.38,79.17,6.06,64.29,0.0,0.0,3.89,100.0,5.63,100.0,4.76,54.55,27.37,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,33.33,0.43,0.0,0.0,0.0,0.0,0.0,3.03,57.14,1,0.43,3,1.3,1,66.67,0.9,0.39,-0.1,-0.043,0.0,1.73,0.0,,,,0.0,0,0.0
Finnegan Fairfax,Team 22,Team 22,"RCB, RB",22,700000,2029-12-31,2,45,0,0.0,0,0.0,16.0,75.0,United States,"United States, Portugal",right,175,66,yes,16.0,10.0,80.0,6.0,66.67,0.0,0.0,2.0,8.0,15.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.0,6.0,0.0,50.0,76.0,20.0,80.0,2.0,100.0,18.0,77.78,46.0,78.26,4.0,50.0,26.95,22.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,66.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Dylan Fairfax,Team 22,Team 22,LW,18,700000,,1,14,0,0.0,0,0.0,,,Germany,Germany,right,174,75,yes,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.33,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
Aaron Crestwood,Team 22,Team 22,"LCMF, RCMF",20,500000,2028-07-30,12,479,0,0.15,0,0.13,13.15,51.43,Chile,Chile,right,182,73,yes,8.64,5.45,65.52,1.13,66.67,1.69,2.7,0.0,3.38,5.4,0.94,2,0.38,0,0.0,0.56,0.0,0,0.0,0.03,0,0.0,3,0.56,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.56,0.0,0.19,1.13,50.0,4.32,34.78,0.38,0.56,0.19,23.3,0.38,0.94,34.38,84.15,9.21,69.39,5.07,96.3,13.72,94.52,31.19,88.55,2.63,50.0,17.66,18.0,0.02,0.75,0.0,0.0,0.0,0.0,0.19,3.95,76.19,1.32,28.57,0.0,0.0,0.75,0.38,4.13,54.55,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Finn Calder,Team 22,Team 22,GK,21,500000,2027-12-31,5,508,0,0.0,0,0.0,0.71,75.0,Poland,Poland,right,189,80,yes,1.06,0.0,0.0,0.35,100.0,0.0,0.0,0.0,1.06,1.89,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,50.0,0.0,0.0,0.0,12.58,0.53,0.35,19.67,80.18,8.33,63.83,0.0,0.0,10.45,91.53,12.4,97.14,7.26,51.22,29.64,46.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,42.86,0.0,0.0,0.0,0.0,0.0,0.0,6.02,52.94,2,0.35,16,2.83,3,87.5,3.88,0.69,1.88,0.333,0.0,1.95,0.35,,,,0.0,0,0.0
Oliver Pemberton,Team 22,Team 22,"LWB, RB, LW",20,500000,2028-12-31,7,247,0,0.92,0,0.42,15.67,34.88,Finland,Finland,left,178,75,yes,3.64,6.56,38.89,2.55,14.29,0.0,0.0,0.0,1.09,1.88,1.82,1,0.36,0,0.0,4.37,0.0,0,0.0,0.33,0,0.0,9,3.28,11.11,0.0,0.0,4.01,63.64,3.64,60.0,0.36,100.0,0.36,3.28,44.44,4.74,46.15,2.55,3.64,0.0,31.7,2.19,0.73,36.8,81.19,13.12,80.56,8.74,87.5,9.47,76.92,31.34,83.72,1.46,75.0,15.93,13.05,0.15,1.46,0.0,0.0,0.0,0.0,0.73,2.19,83.33,6.19,58.82,0.0,0.0,1.09,2.55,7.29,80.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Owen Somerset,Team 22,Team 22,RCB,19,400000,2028-12-31,6,565,0,0.25,1,0.46,14.97,44.68,South Korea,"South Korea, Italy",right,187,81,yes,9.88,8.28,48.08,3.66,39.13,0.16,0.24,0.8,5.73,8.5,2.39,2,0.32,0,0.0,0.96,0.0,0,0.0,0.04,0,0.0,3,0.48,0.0,0.0,0.16,1.12,42.86,0.0,0.0,1.12,42.86,0.0,0.64,75.0,2.07,53.85,0.96,0.48,0.0,25.65,0.16,0.16,37.75,83.12,22.3,74.29,1.75,90.91,10.04,98.41,30.74,91.19,6.05,50.0,21.95,37.5,0.07,0.48,0.0,0.16,0.16,0.0,0.32,5.73,66.67,1.12,57.14,0.32,50.0,0.32,0.48,9.72,80.33,0,,0,,0,0.0,0.0,0.0,,,1.27,,,0.0,0.0,0.0,0.0,0,0.0
Simon Beaumont,Team 22,Team 22,"RCMF, LCMF",26,350000,2027-12-31,16,1454,0,1.47,1,0.28,8.98,44.14,Ireland,Ireland,right,183,73,yes,4.77,3.84,41.94,1.55,52.0,0.19,0.29,0.19,2.97,4.59,1.11,1,0.06,0,0.0,0.31,0.0,0,0.0,0.09,0,0.0,16,0.99,18.75,0.0,0.06,0.19,0.0,0.06,0.0,0.12,0.0,0.06,0.31,40.0,2.79,42.22,0.68,0.37,0.12,31.32,0.5,1.05,44.57,85.97,12.87,70.19,7.12,94.78,18.82,93.09,40.79,88.47,3.65,61.02,19.37,35.6,0.02,0.43,0.0,0.0,0.12,0.0,0.12,7.92,74.22,0.87,28.57,0.25,25.0,0.31,0.06,7.55,73.77,0,,0,,0,0.0,0.0,0.0,,,0.68,,,0.0,0.0,0.0,0.0,0,0.0
Elias Fletcher,Team 22,Team 22,"AMF, RWF",26,350000,2027-12-31,13,557,1,1.53,0,1.37,18.9,51.28,Cameroon,"Cameroon, Germany",right,179,73,yes,4.52,5.01,61.29,2.59,37.5,0.0,0.0,0.0,1.45,2.33,1.29,1,0.16,0,0.0,3.88,0.16,0,0.0,0.25,0,0.0,14,2.26,28.57,7.143,0.0,2.59,56.25,0.16,100.0,2.42,53.33,0.65,2.75,58.82,10.18,49.21,2.1,2.1,0.48,24.56,1.62,3.23,31.35,75.77,9.05,66.07,6.3,92.31,10.02,74.19,26.01,79.5,2.75,58.82,17.67,23.48,0.22,2.1,0.0,0.0,0.48,33.33,1.29,5.98,67.57,4.36,55.56,0.97,33.33,1.29,1.45,6.3,79.49,0,,0,,0,0.0,0.0,0.0,,,0.16,,,1.45,0.16,0.0,2.42,1,100.0
Kasper Holbrook,Team 22,Team 22,"AMF, LWF, CF",31,450000,,12,436,1,1.95,0,0.0,21.06,51.96,Uruguay,Uruguay,right,182,79,yes,6.81,5.16,52.0,4.33,47.62,0.21,0.32,0.21,3.92,6.13,2.06,1,0.21,0,0.0,5.37,0.21,1,0.21,0.4,0,0.0,12,2.48,33.33,8.333,0.0,3.3,25.0,2.06,30.0,1.24,16.67,0.62,5.37,69.23,10.53,52.94,4.95,2.27,0.21,18.37,2.27,1.24,23.33,65.49,5.57,59.26,4.95,91.67,8.67,61.9,18.37,75.28,1.65,37.5,19.68,15.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,45.45,3.3,62.5,0.21,100.0,1.44,1.03,4.75,60.87,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.21,0,0.0
